domain,rho,pbar,obs_correct_given_4agree,naive_posterior,gap,n_agree_items,coverage
science,0.48589095981098407,0.871050481495876,0.9623655913978495,0.9999993411632986,0.03763374976544909,186,0.744
science,0.49008789596280644,0.8814805890227577,0.9607843137254902,0.9999995516891993,0.03921523796370907,204,0.816
science,0.4769498626348786,0.8790601187599638,0.9672897196261683,0.9999995085536658,0.03270978892749754,214,0.856
science,0.5463471637425126,0.8792172145371611,0.9587155963302753,0.9999995114514906,0.04128391512121532,218,0.872
science,0.5272178523817626,0.8953476702508961,0.9712643678160919,0.9999997439639414,0.02873537614784949,174,0.696
science,0.5233131717930297,0.8929271999881022,0.9747474747474747,0.9999997163878854,0.025252241640410733,198,0.792
science,0.5794308237164609,0.8930842957652994,0.9651741293532339,0.9999997182470043,0.03482558889377041,201,0.804
science,0.5218242209370223,0.9033573075149839,0.966183574879227,0.9999998203156598,0.0338162454364328,207,0.828
science,0.5957194168511147,0.903514403292181,0.9624413145539906,0.9999998216052696,0.037558507051278944,213,0.852
science,0.5696868385745345,0.9010939330293871,0.963302752293578,0.9999998008942271,0.03669704860064915,218,0.872
science,0.48322321254033157,0.8730504814958759,0.9651162790697675,0.9999993867479443,0.03488310767817682,172,0.688
science,0.4889837961239799,0.870630011233082,0.9642857142857143,0.9999993312376596,0.035713616951945304,196,0.784
science,0.5385536389885781,0.8707871070102792,0.9644670050761421,0.9999993349602219,0.03553232988407973,197,0.788
science,0.46924436922127527,0.8810601187599637,0.9663461538461539,0.9999995444247703,0.03365339057861649,208,0.832
science,0.5365917560765348,0.8812172145371611,0.9575471698113207,0.9999995471499644,0.04245237733864371,212,0.848
science,0.5202244419723356,0.8787967442743672,0.9680365296803652,0.999999503664153,0.03196297398378778,219,0.876
science,0.5256077018843529,0.894927199988102,0.9722222222222222,0.9999997393349835,0.02777751711276133,180,0.72
science,0.5796754395554095,0.8950842957652994,0.9615384615384616,0.9999997410722428,0.0384612795337812,182,0.728
science,0.5725414781904055,0.8926638255025054,0.9715639810426541,0.9999997132489243,0.02843573220627027,211,0.844
science,0.5648937082705322,0.903093933029387,0.9631336405529954,0.9999998181369105,0.03686617758391508,217,0.868
science,0.4979287698402107,0.8766060370514316,0.9702380952380952,0.999999461445005,0.029761366206909723,168,0.672
science,0.47731279179798786,0.8741855667886377,0.9726775956284153,0.9999994114551678,0.027321815826752527,183,0.732
science,0.5508136603319602,0.8743426625658348,0.9627659574468085,0.999999414809926,0.03723345736311756,188,0.752
science,0.47684746067090894,0.8846156743155194,0.9651741293532339,0.9999996029538003,0.034825473600566426,201,0.804
science,0.5681258731955423,0.8847727700927166,0.9558823529411765,0.999999605392084,0.044117252450907474,204,0.816
science,0.5253819974654721,0.8823522998299227,0.9629629629629629,0.9999995664512259,0.03703660348826299,216,0.864
science,0.5256433235997754,0.8984827555436576,0.9826589595375722,0.9999997764407347,0.01734081690316247,173,0.692
science,0.6036420869402059,0.8986398513208549,0.9661016949152542,0.9999997779766583,0.03389808306140407,177,0.708
science,0.5701315639493307,0.896219381058061,0.9748743718592965,0.9999997533505993,0.025125381491302834,199,0.796
science,0.5817578898050831,0.9066494885849427,0.9622641509433962,0.9999998458365122,0.03773569489311601,212,0.848
science,0.48829873792499245,0.8761855667886376,0.9705882352941176,0.9999994530181066,0.029411217723988914,170,0.68
science,0.5597496922065901,0.8763426625658349,0.96,0.9999994561789916,0.03999945617899159,175,0.7
science,0.5359044333880961,0.873922192303041,0.9690721649484536,0.9999994057957744,0.03092724084732079,194,0.776
science,0.5292802831971513,0.8843522998299227,0.9571428571428572,0.999999598838671,0.04285674169581377,210,0.84
science,0.5840298731859364,0.898219381058061,0.9666666666666667,0.9999997738466441,0.033333107179977395,180,0.72
science,0.47240524633973713,0.8743838148292093,0.9702380952380952,0.9999994156861526,0.02976132044805735,168,0.672
science,0.46306734209670497,0.8719633445664154,0.9625668449197861,0.9999993622997833,0.0374325173799972,187,0.748
science,0.5222793699486288,0.8721204403436126,0.9627659574468085,0.9999993658808581,0.03723340843404965,188,0.752
science,0.4526634170450311,0.8823934520932971,0.9696969696969697,0.9999995671382746,0.030302597441304924,198,0.792
science,0.529652988887616,0.8825505478704944,0.9560975609756097,0.999999569752941,0.0439020087773313,205,0.82
science,0.49818718695673636,0.8801300776077005,0.966824644549763,0.9999995280177004,0.0331748834679374,211,0.844
science,0.5088374016060108,0.8962605333214354,0.9827586206896551,0.9999997537868086,0.01724113309715347,174,0.696
science,0.5725473242643928,0.8964176290986327,0.9714285714285714,0.9999997554463217,0.028571184017750273,175,0.7
science,0.5503148750727083,0.8939971588358387,0.9748743718592965,0.9999997288573588,0.025125356998062287,199,0.796
science,0.5520026070038658,0.9044272663627204,0.966183574879227,0.9999998289536376,0.03381625407441058,207,0.828
science,0.46896875125681375,0.8739633445664154,0.9655172413793104,0.9999994066829591,0.03448216530364867,174,0.696
science,0.526130864856363,0.8741204403436127,0.9659090909090909,0.9999994100598258,0.034090319150734905,176,0.704
science,0.5135636798370595,0.8716999700808188,0.9644670050761421,0.9999993562591066,0.035532351182964494,197,0.788
science,0.4970009357215198,0.8821300776077005,0.9615384615384616,0.9999995627259035,0.03846110118744195,208,0.832
science,0.5591286473424181,0.8959971588358387,0.967032967032967,0.9999997509843469,0.03296678395137986,182,0.728
science,0.47142983699361496,0.877518900121971,0.9820359281437125,0.9999994793778518,0.017963551234139286,167,0.668
science,0.5525229762625379,0.8776759958991681,0.9651162790697675,0.9999994824144792,0.03488320334471173,172,0.688
science,0.5135792296173635,0.8752555256363742,0.9731182795698925,0.9999994339978897,0.02688115442799721,186,0.744
science,0.5162905812774494,0.885685633163256,0.9556650246305419,0.9999996193225361,0.04433459469199419,203,0.812
science,0.5708508231641365,0.8995527143913943,0.9771428571428571,0.9999997867354224,0.022856929592565356,175,0.7
science,0.5310844179227547,0.8772555256363741,0.96,0.9999994742544622,0.039999474254462264,175,0.7
medicine,0.6834680972904608,0.8375062796840049,0.9154228855721394,0.999998056136938,0.08457517056479869,201,0.804
medicine,0.6705579185843618,0.8370678434399421,0.909952606635071,0.9999980309524412,0.09004542431737017,211,0.844
medicine,0.6537069755929876,0.8299215702965383,0.9162790697674419,0.9999975805304472,0.0837185107630053,215,0.86
medicine,0.631729830908437,0.8252146811223836,0.9061032863849765,0.9999972392740695,0.09389395288909297,213,0.852
medicine,0.6797367191768389,0.8422135284371647,0.916256157635468,0.9999983100963533,0.08374215246088534,203,0.812
medicine,0.6566573488143402,0.835067255293761,0.9238578680203046,0.9999979125634064,0.07614004454310186,197,0.788
medicine,0.6287406981935053,0.8303603661196062,0.9191919191919192,0.9999976104600652,0.08080569126814596,198,0.792
medicine,0.6417620759402689,0.8346288190496983,0.9234449760765551,0.9999978858423991,0.07655290976584406,209,0.836
medicine,0.6363506463251081,0.8299219298755434,0.9052132701421801,0.9999975805551011,0.09478431041292101,211,0.844
medicine,0.6132395444512884,0.8227756567321396,0.9112149532710281,0.9999970471665183,0.08878209389549019,214,0.856
medicine,0.6936037508625115,0.8378924767160092,0.9073170731707317,0.9999980780983686,0.09268100492763687,205,0.82
medicine,0.6897095144562819,0.8307462035726054,0.9253731343283582,0.9999976365214805,0.07462450219312233,201,0.804
medicine,0.6513793331193412,0.8260393143984507,0.9108910891089109,0.9999973018078648,0.08910621269895391,202,0.808
medicine,0.6722751330702187,0.8303077673285427,0.9069767441860465,0.9999976068887693,0.0930208627027228,215,0.86
medicine,0.6564501727389521,0.8256008781543878,0.9014084507042254,0.9999972687096156,0.09858881800539021,213,0.852
medicine,0.6525242048214014,0.8184546050109841,0.8914027149321267,0.9999966792697977,0.10859396433767099,221,0.884
medicine,0.6668850603539924,0.8354534523257653,0.9195979899497487,0.9999979358671635,0.08039994591741473,199,0.796
medicine,0.6451205940864414,0.8307465631516104,0.905940594059406,0.9999976365456571,0.09405704248625113,202,0.808
medicine,0.6349661987977663,0.8236002900082067,0.92,0.9999971133327721,0.07999711333277204,200,0.8
